embedding_type,n_samples,bootstrap_iters,tau,tau_ci_lower,tau_ci_upper,spectral_gap,spectral_gap_ci_lower,spectral_gap_ci_upper,neighborhood_purity,neighborhood_purity_ci_lower,neighborhood_purity_ci_upper,silhouette,silhouette_ci_lower,silhouette_ci_upper,trustworthiness,trustworthiness_ci_lower,trustworthiness_ci_upper,id_raw,id_raw_ci_lower,id_raw_ci_upper,id_diff,id_diff_ci_lower,id_diff_ci_upper,progression,model
patch_mean_0.125,4000,0,0.14858697389059242,,,0.003955245,,,0.4450261507196017,,,,,,0.990282781124498,,,,,,,,,SCC,virchow2
patch_mean_0.375,4000,0,0.31682683066471934,,,0.004555583,,,0.5224115451561369,,,,,,0.9837142570281124,,,,,,,,,SCC,virchow2
patch_mean_0.625,4000,0,0.6697239053163047,,,0.052240193,,,0.6673982228225844,,,,,,0.9720581827309237,,,,,,,,,SCC,virchow2
patch_mean_0.875,4000,0,0.5750245963702677,,,0.026254952,,,0.651145238461088,,,,,,0.9841076305220884,,,,,,,,,SCC,virchow2
patch_mean_1.0,4000,0,0.3858244433382485,,,0.01273638,,,0.5786517243206207,,,,,,0.9876924196787149,,,,,,,,,SCC,virchow2
cls_0.125,4000,0,0.253742233379336,,,0.01664728,,,0.46233005879667155,,,,,,0.9877515562248996,,,,,,,,,SCC,virchow2
cls_0.375,4000,0,0.3171974962653277,,,0.007558584,,,0.5294184669294859,,,,,,0.9837913654618474,,,,,,,,,SCC,virchow2
cls_0.625,4000,0,0.6143616476940261,,,0.028920233,,,0.6595380541557478,,,,,,0.9778343373493976,,,,,,,,,SCC,virchow2
cls_0.875,4000,0,0.7239128404437685,,,0.068021655,,,0.7257136523446436,,,,,,0.9763345883534137,,,,,,,,,SCC,virchow2
cls_1.0,4000,0,0.7154708240474672,,,0.057043016,,,0.7366363902027684,,,,,,0.9830346385542169,,,,,,,,,SCC,virchow2
register_mean_0.125,4000,0,0.14132934180858323,,,0.01598227,,,0.4476170250506782,,,,,,0.984682078313253,,,,,,,,,SCC,virchow2
register_mean_0.375,4000,0,0.1544420475699572,,,0.03285128,,,0.511997246765122,,,,,,0.9814829819277109,,,,,,,,,SCC,virchow2
register_mean_0.625,4000,0,0.6168289739835651,,,0.069571495,,,0.6614519236426436,,,,,,0.9749895582329318,,,,,,,,,SCC,virchow2
register_mean_0.875,4000,0,0.5191247259586166,,,0.01180774,,,0.6417824489092065,,,,,,0.9846268072289157,,,,,,,,,SCC,virchow2
register_mean_1.0,4000,0,0.3818526430055525,,,0.017699838,,,0.5868645031042068,,,,,,0.9882653614457831,,,,,,,,,SCC,virchow2
final_embedding,4000,50,0.7171961625482935,0.7067742031059943,0.7303286807315094,0.054039836,0.045079030096530914,0.05443942099809647,0.7352806281809675,0.7304109984997661,0.7494633125528999,,,,0.9831441265060241,0.9833567507530121,0.9863471548694779,,,,,,,SCC,virchow2
patch_mean_0.125,4000,0,0.09509296672696203,,,0.06551939,,,0.40705958360928646,,,,,,0.9883381526104418,,,,,,,,,SCC,uni2
patch_mean_0.375,4000,0,0.2177304160573785,,,0.014138162,,,0.49830329198341766,,,,,,0.9849175200803213,,,,,,,,,SCC,uni2
patch_mean_0.625,4000,0,0.5954538039817564,,,0.07530314,,,0.6511831589046233,,,,,,0.9693603915662651,,,,,,,,,SCC,uni2
patch_mean_0.875,4000,0,0.668324954984458,,,0.037662506,,,0.6871032942896794,,,,,,0.9797486947791164,,,,,,,,,SCC,uni2
patch_mean_1.0,4000,0,0.6286401116677035,,,0.038027525,,,0.67842113016649,,,,,,0.9798180722891566,,,,,,,,,SCC,uni2
cls_0.125,4000,0,0.0014159842952310097,,,0.026617885,,,0.3408756655001232,,,,,,0.9920725903614458,,,,,,,,,SCC,uni2
cls_0.375,4000,0,0.31228121620249366,,,0.014154911,,,0.5188962560764968,,,,,,0.9830056224899598,,,,,,,,,SCC,uni2
cls_0.625,4000,0,0.5809034427566556,,,0.029537797,,,0.6257750264452437,,,,,,0.9731859437751004,,,,,,,,,SCC,uni2
cls_0.875,4000,0,0.7186435266066666,,,0.0863837,,,0.6962002878932136,,,,,,0.9686921686746988,,,,,,,,,SCC,uni2
cls_1.0,4000,0,0.697761332359115,,,0.07725835,,,0.6960185501114188,,,,,,0.9622105923694779,,,,,,,,,SCC,uni2
register_mean_0.125,4000,0,-0.0007308725136868796,,,0.024341643,,,0.34014216465576136,,,,,,0.992253313253012,,,,,,,,,SCC,uni2
register_mean_0.375,4000,0,0.2398873003600463,,,0.014253855,,,0.48391742484574585,,,,,,0.9806187248995983,,,,,,,,,SCC,uni2
register_mean_0.625,4000,0,0.6041098001378312,,,0.0809685,,,0.6345199606120959,,,,,,0.9670633534136546,,,,,,,,,SCC,uni2
register_mean_0.875,4000,0,0.7036155298837262,,,0.06932348,,,0.69512257919817,,,,,,0.9718659638554217,,,,,,,,,SCC,uni2
register_mean_1.0,4000,0,0.6976708650051754,,,0.05825293,,,0.6963509832040032,,,,,,0.9741507028112449,,,,,,,,,SCC,uni2
final_embedding,4000,50,0.7073486544734213,0.47978127669635934,0.7243463006718607,0.086007774,0.07478734254837036,0.0880990743637085,0.6978635138255282,0.6928852719491244,0.7166506303565882,,,,0.975380873493976,0.9749307153614458,0.9786939332329317,,,,,,,SCC,uni2
patch_mean_0.125,4000,0,0.1224027407007599,,,0.015549958,,,0.43052551057506416,,,,,,0.9897202309236948,,,,,,,,,SCC,conch
patch_mean_0.375,4000,0,0.31739786185600094,,,0.033441603,,,0.518596813486741,,,,,,0.9826399598393575,,,,,,,,,SCC,conch
patch_mean_0.625,4000,0,0.6089996644021193,,,0.052363157,,,0.6583428796568096,,,,,,0.9696245481927711,,,,,,,,,SCC,conch
