embedding_type,n_samples,bootstrap_iters,tau,spectral_gap,neighborhood_purity,silhouette,trustworthiness,id_raw,id_diff,progression,model,tau_ci_lower,tau_ci_upper,spectral_gap_ci_lower,spectral_gap_ci_upper,neighborhood_purity_ci_lower,neighborhood_purity_ci_upper,silhouette_ci_lower,silhouette_ci_upper,trustworthiness_ci_lower,trustworthiness_ci_upper,id_raw_ci_lower,id_raw_ci_upper,id_diff_ci_lower,id_diff_ci_upper
patch_mean_0.125,4000,0,0.14858697389059242,0.003955245,0.4450261507196017,0.010232547476084918,0.9903074297188755,12.519614040351206,4.993524923260404,SCC,virchow2,,,,,,,,,,,,,,
patch_mean_0.375,4000,0,0.31682683066471934,0.004555583,0.5224115451561369,0.04273176805159785,0.9843265060240964,11.65941148410141,5.73758913021432,SCC,virchow2,,,,,,,,,,,,,,
patch_mean_0.625,4000,0,0.6697239053163047,0.052240193,0.6673982228225844,0.08447197262849265,0.9726660642570281,13.302733279178726,4.858275724008633,SCC,virchow2,,,,,,,,,,,,,,
patch_mean_0.875,4000,0,0.5750245963702677,0.026254952,0.651145238461088,0.0907810355074461,0.9844761546184739,11.721834228464164,4.0894564932731745,SCC,virchow2,,,,,,,,,,,,,,
patch_mean_1.0,4000,0,0.3858244433382485,0.01273638,0.5786517243206207,0.05546112880954382,0.9879159638554217,11.667902636046168,3.853594974085115,SCC,virchow2,,,,,,,,,,,,,,
cls_0.125,4000,0,0.253742233379336,0.01664728,0.46233005879667155,-0.0005554074820832822,0.9887835843373494,12.693070916538977,4.583183371040791,SCC,virchow2,,,,,,,,,,,,,,
cls_0.375,4000,0,0.3171974962653277,0.007558584,0.5294184669294859,0.028265016628630762,0.9839659136546185,10.27988038796001,4.910531951095301,SCC,virchow2,,,,,,,,,,,,,,
cls_0.625,4000,0,0.6143616476940261,0.028920233,0.6595380541557478,0.07214925320256682,0.9791808232931727,11.116926216358067,4.974683574414294,SCC,virchow2,,,,,,,,,,,,,,
cls_0.875,4000,0,0.7239128404437685,0.068021655,0.7257136523446436,0.10613687107697556,0.9781218373493976,11.9031129090749,4.842988759036279,SCC,virchow2,,,,,,,,,,,,,,
cls_1.0,4000,0,0.7154708240474672,0.057043016,0.7366363902027684,0.1385273926479337,0.9825915662650603,11.871787722214242,4.260559862745871,SCC,virchow2,,,,,,,,,,,,,,
register_mean_0.125,4000,0,0.14132934180858323,0.01598227,0.4476170250506782,0.014537787685213292,0.9846626004016065,17.413450135605228,3.898129933071029,SCC,virchow2,,,,,,,,,,,,,,
register_mean_0.375,4000,0,0.1544420475699572,0.03285128,0.511997246765122,0.031340057549609855,0.9813837851405622,13.385636307747456,5.0843442171715285,SCC,virchow2,,,,,,,,,,,,,,
register_mean_0.625,4000,0,0.6168289739835651,0.069571495,0.6614519236426436,0.07506327358819649,0.9763311746987952,13.074386700088391,4.791965311869466,SCC,virchow2,,,,,,,,,,,,,,
register_mean_0.875,4000,0,0.5191247259586166,0.01180774,0.6417824489092065,0.06814150269224567,0.9846349899598393,12.263483586694178,4.062472574692997,SCC,virchow2,,,,,,,,,,,,,,
register_mean_1.0,4000,0,0.3818526430055525,0.017699838,0.5868645031042068,0.036529384717325586,0.9890109939759036,11.452139016104669,4.230334378734748,SCC,virchow2,,,,,,,,,,,,,,
final_embedding,4000,100,0.7171961625482935,0.054039836,0.7352806281809675,0.1373472806839352,0.982877108433735,12.545038622622357,4.290047320012212,SCC,virchow2,0.7032429342465566,0.7300396600646927,0.046358489990234376,0.05559467524290083,0.7294246140080703,0.7494717931868758,0.12715072542464576,0.14396281582258014,0.9832935077811245,0.9862271423192771,11.24096533756173,12.97463478779166,0.6155119137878818,0.7025456068929746
patch_mean_0.125,4000,0,0.09509296672696203,0.06551939,0.40705958360928646,-0.050454020864367115,0.9889335843373493,10.406500593493208,4.289015045184033,SCC,uni2,,,,,,,,,,,,,,
patch_mean_0.375,4000,0,0.2177304160573785,0.014138162,0.49830329198341766,0.027237512057528276,0.9846827309236947,13.541916977540504,5.62327833720821,SCC,uni2,,,,,,,,,,,,,,
patch_mean_0.625,4000,0,0.5954538039817564,0.07530314,0.6511831589046233,0.07812005941812016,0.9702836847389559,14.712261139750222,4.562925606047431,SCC,uni2,,,,,,,,,,,,,,
patch_mean_0.875,4000,0,0.668324954984458,0.037662506,0.6871032942896794,0.11886333016872194,0.9794307228915663,14.280511661584342,3.9951469939013884,SCC,uni2,,,,,,,,,,,,,,
patch_mean_1.0,4000,0,0.6286401116677035,0.038027525,0.67842113016649,0.09391420427634432,0.978728765060241,13.607101166543453,4.130990549632002,SCC,uni2,,,,,,,,,,,,,,
cls_0.125,4000,0,0.0014159842952310097,0.026617885,0.3408756655001232,-0.07081087446510981,0.9921843373493976,9.830142269855143,3.874523576068994,SCC,uni2,,,,,,,,,,,,,,
cls_0.375,4000,0,0.31228121620249366,0.014154911,0.5188962560764968,0.017071513964227132,0.9830431224899598,13.645582014391351,4.491082575450762,SCC,uni2,,,,,,,,,,,,,,
cls_0.625,4000,0,0.5809034427566556,0.029537797,0.6257750264452437,0.03248160076946841,0.9749872991967872,13.538925182939927,5.20682101075927,SCC,uni2,,,,,,,,,,,,,,
cls_0.875,4000,0,0.7186435266066666,0.0863837,0.6962002878932136,0.07973342286284887,0.9689555220883534,13.260952410781835,4.700714218841928,SCC,uni2,,,,,,,,,,,,,,
cls_1.0,4000,0,0.697761332359115,0.07725835,0.6960185501114188,0.06657285935577512,0.965864156626506,17.45047230273042,4.719919712246858,SCC,uni2,,,,,,,,,,,,,,
register_mean_0.125,4000,0,-0.0007308725136868796,0.024341643,0.34014216465576136,-0.07102929499181096,0.9927270080321285,10.004574583181057,3.834024916833453,SCC,uni2,,,,,,,,,,,,,,
register_mean_0.375,4000,0,0.2398873003600463,0.014253855,0.48391742484574585,0.004720443126851294,0.9794248493975903,16.54423596297952,5.097390331155786,SCC,uni2,,,,,,,,,,,,,,
register_mean_0.625,4000,0,0.6041098001378312,0.0809685,0.6345199606120959,0.04894240134135747,0.9684356927710843,15.44350767254089,5.327011711570384,SCC,uni2,,,,,,,,,,,,,,
register_mean_0.875,4000,0,0.7036155298837262,0.06932348,0.69512257919817,0.10091914028356132,0.9713552710843374,16.814036841235335,4.5635717441014245,SCC,uni2,,,,,,,,,,,,,,
register_mean_1.0,4000,0,0.6976708650051754,0.05825293,0.6963509832040032,0.10288875647850601,0.9753772088353414,15.832289635482088,4.348409023026332,SCC,uni2,,,,,,,,,,,,,,
final_embedding,4000,100,0.7073486544734213,0.086007774,0.6978635138255282,0.07843185301711894,0.9742937751004016,16.879469033944154,4.631215941469963,SCC,uni2,0.4873795493143161,0.7245305263785682,0.0745406374335289,0.08868037164211273,0.6925953698985822,0.7143540849507922,0.07109864706843409,0.08283028813823397,0.9749511445783132,0.979386311495984,15.466268859008181,17.5935367969175,0.6285531672227291,0.7152119687783681
patch_mean_0.125,4000,0,0.1224027407007599,0.015549958,0.43052551057506416,-0.0003689514137971042,0.9893206827309237,12.053918481252897,5.367096685027052,SCC,conch,,,,,,,,,,,,,,
patch_mean_0.375,4000,0,0.31739786185600094,0.033441603,0.518596813486741,0.038797174824005236,0.9822798192771084,11.991145216181481,5.571484527530326,SCC,conch,,,,,,,,,,,,,,
patch_mean_0.625,4000,0,0.6089996644021193,0.052363157,0.6583428796568096,0.07265103547129326,0.9709974397590362,15.998139755287282,5.112438042787792,SCC,conch,,,,,,,,,,,,,,
patch_mean_0.875,4000,0,0.6304029824121566,0.064749956,0.6799638495747992,0.09184791733278,0.9759890562248996,18.57573091677752,4.757416003437447,SCC,conch,,,,,,,,,,,,,,
patch_mean_1.0,4000,0,0.6510397721178176,0.06896484,0.687606212621763,0.09641178714197551,0.9751666666666666,18.947296540376165,4.285440992186226,SCC,conch,,,,,,,,,,,,,,
cls_0.125,4000,0,0.14074427730831027,0.03887391,0.43820274134921855,0.002632438288396676,0.9828676204819277,11.439344972905621,4.006183658447767,SCC,conch,,,,,,,,,,,,,,
