model,progression,trajectory_fidelity,ci_lower,ci_upper
conch,BDC,0.5983551599895768,0.5265148993014517,0.6518302232519565
conch,CRC-Conventional,0.7028010190323626,0.5185104664139794,0.7310992681155344
conch,CRC-Serrated,0.6415586246094653,0.6151675064026558,0.6900795143059388
conch,Null,0.003734911879581225,-0.0130087820723425,0.020579156586171824
conch,SCC,0.6371714238662911,0.566458961415753,0.6563640303790057
dinov2,BDC,0.2172902706544222,0.0118870517704245,0.2809909724427649
dinov2,CRC-Conventional,0.5165814687709507,0.39914881474312,0.5888413106883769
dinov2,CRC-Serrated,0.6906535703177544,0.4693550083649344,0.7092007678992487
dinov2,Null,0.001345197932352425,-0.01396372036284485,0.0146212917527562
dinov2,SCC,0.476230899148364,0.1163014197486531,0.495340817379824
gigapath,BDC,0.5445103867562489,0.4518050204053968,0.610380799888539
gigapath,CRC-Conventional,0.7363929153435631,0.6584031384892721,0.7485978122548792
gigapath,CRC-Serrated,0.7924941240203114,0.7491155937427236,0.7963801732178014
gigapath,Null,0.0052543299411269,-0.0091920932985854,0.0211179639303856
gigapath,SCC,0.5898786086316662,0.5678432060624957,0.6172557019889873
musk,BDC,0.343698923235825,0.2873892253094031,0.5356534092535268
musk,CRC-Conventional,0.6759734509963733,0.5612055397805541,0.7101407424648251
musk,CRC-Serrated,0.7048646924474689,0.5126343610178035,0.7140354655958304
musk,Null,0.00300298891772565,-0.014438211441725074,0.021739438203237826
musk,SCC,0.6413768961030613,0.4404471410958981,0.6685323792173125
uni2,BDC,0.6986167339622846,0.6477670337457286,0.7221960751241874
uni2,CRC-Conventional,0.7249760195990723,0.5664683726668069,0.7391152569414603
uni2,CRC-Serrated,0.7880604404849562,0.7745159644771019,0.7919125943559433
uni2,Null,0.00434055909381065,-0.012618201486321201,0.018769216792656675
uni2,SCC,0.7073486544734213,0.4873795493143161,0.7245305263785682
virchow2,BDC,0.6188315863260099,0.560561528717893,0.6639747826745478
virchow2,CRC-Conventional,0.7328357043310497,0.7186207716897736,0.7430570852413049
virchow2,CRC-Serrated,0.7929737596247732,0.7865893991331814,0.7989573846711433
virchow2,Null,0.00497674750055575,-0.01158213037650685,0.019607311248942424
virchow2,SCC,0.7171961625482935,0.7032429342465566,0.7300396600646927
