Cell Type,Overall ρ,Overall p,Ad-low,Ad-high,Ca-low,Ca-high,Within-stage ρ
Cancer Cells,+0.285,6.43e-144,64.5±29.0,86.1±16.6,84.1±17.3,83.1±19.4,+0.33* | +0.19* | +0.05* | +0.06*
Epithelial Normal,-0.373,8.84e-253,11.6±22.2,0.3±3.9,0.2±2.7,0.1±0.8,-0.30* | -0.05* | -0.04 | +0.12*
Fibroblasts,-0.234,3.33e-96,8.2±9.6,3.6±5.8,5.7±8.6,3.9±7.3,-0.27* | -0.19* | -0.03 | -0.23*
Lymphocytes,-0.090,3.18e-15,5.8±9.3,3.5±7.1,3.0±5.7,4.6±9.8,-0.15* | -0.15* | -0.11* | +0.15*
Macrophages,-0.148,8.04e-39,3.7±5.9,2.4±4.4,2.4±4.2,2.1±4.1,-0.12* | -0.14* | -0.14* | -0.25*
Plasmocytes,-0.114,7.41e-24,2.4±5.6,0.8±3.5,0.4±1.6,1.0±4.2,-0.06* | -0.12* | -0.08* | +0.11*
Neutrophils,+0.154,2.04e-42,0.2±1.4,0.2±0.9,0.5±2.3,1.4±4.3,-0.06* | -0.04 | -0.05* | +0.21*
Eosinophils,-0.088,7.71e-15,0.1±0.5,0.0±0.3,0.0±0.2,0.0±0.2,-0.08* | -0.04 | -0.07* | -0.03
Endothelial,-0.144,3.07e-37,2.3±5.1,1.9±4.1,1.9±4.3,0.7±2.2,-0.05* | -0.11* | +0.03 | -0.19*
Apoptotic Bodies,+0.257,1.09e-116,0.6±2.3,0.8±2.8,1.5±4.2,2.5±5.7,-0.03 | +0.17* | +0.16* | -0.05*
Smooth Muscle,+0.003,8.10e-01,0.0±0.5,0.0±0.2,0.0±0.2,0.0±0.3,+0.03 | -0.03 | -0.02 | +0.05*
Red Blood Cells,-0.051,7.39e-06,0.2±2.5,0.1±0.6,0.1±1.2,0.0±0.3,-0.01 | +0.01 | +0.03 | -0.06*
Mitotic Figures,+0.040,4.79e-04,0.1±0.5,0.2±0.6,0.1±0.5,0.1±0.5,+0.03 | +0.04* | +0.00 | +0.05*
