Cell Type,Overall ρ,Overall p,Ad-low,Ad-high,Ca-low,Ca-high,Within-stage ρ
Cancer Cells,+0.290,2.55e-78,63.0±29.2,88.2±14.6,86.0±16.5,82.5±19.5,+0.31* | +0.21* | +0.10* | +0.09*
Epithelial Normal,-0.370,3.82e-130,11.9±22.1,0.2±3.4,0.3±3.8,0.1±0.5,-0.25* | -0.07* | -0.11* | +0.15*
Fibroblasts,-0.251,2.15e-58,8.3±9.1,3.4±5.4,5.4±8.2,4.3±7.8,-0.28* | -0.22* | -0.04 | -0.22*
Lymphocytes,-0.109,4.83e-12,6.4±10.0,2.5±5.4,2.5±5.4,4.9±10.8,-0.21* | -0.21* | -0.21* | +0.19*
Macrophages,-0.154,9.48e-23,3.9±5.9,2.1±4.1,2.1±4.0,2.4±4.4,-0.13* | -0.23* | -0.16* | -0.26*
Plasmocytes,-0.147,1.12e-20,2.6±5.6,0.6±2.0,0.4±1.4,0.7±1.9,-0.11* | -0.22* | -0.09* | +0.08*
Neutrophils,+0.185,3.04e-32,0.1±0.9,0.2±1.3,0.3±1.7,1.9±5.1,-0.07* | -0.10* | -0.08* | +0.24*
Eosinophils,-0.130,1.45e-16,0.1±0.6,0.0±0.3,0.0±0.1,0.0±0.1,-0.08* | -0.11* | -0.05 | +0.04
Endothelial,-0.150,1.32e-21,2.5±5.6,1.7±3.8,1.8±4.2,0.7±2.4,-0.00 | +0.02 | +0.01 | -0.19*
Apoptotic Bodies,+0.232,7.64e-50,0.5±1.6,0.8±2.5,1.1±4.0,2.3±4.2,-0.03 | +0.06 | +0.01 | -0.06*
Smooth Muscle,+0.002,8.76e-01,0.1±0.4,0.0±0.2,0.0±0.2,0.0±0.3,-0.03 | -0.00 | -0.07* | +0.05
Red Blood Cells,-0.064,5.30e-05,0.3±3.4,0.1±0.5,0.1±0.5,0.0±0.2,-0.01 | +0.07* | +0.04 | -0.06
Mitotic Figures,+0.021,1.77e-01,0.1±0.6,0.2±0.7,0.1±0.5,0.1±0.4,-0.02 | +0.02 | +0.01 | +0.12*
