slide_id,patch_id,class_label,pseudotime,pseudotime_norm,total_cells,mean_confidence,cancer_cells,lymphocytes,fibroblasts,plasmocytes,eosinophils,neutrophils,macrophages,smooth_muscle,endothelial,red_blood_cells,epithelial_normal,mitotic_figures,apoptotic_bodies,cancer_cells_prop,lymphocytes_prop,fibroblasts_prop,plasmocytes_prop,eosinophils_prop,neutrophils_prop,macrophages_prop,smooth_muscle_prop,endothelial_prop,red_blood_cells_prop,epithelial_normal_prop,mitotic_figures_prop,apoptotic_bodies_prop
0009,0013186,Adenoma low grade,0.042369294911623,0.042369294911623,48,0.9853039137243922,44,0,0,0,0,0,1,0,2,0,0,1,0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.041666666666666664,0.0,0.0,0.020833333333333332,0.0
0009,0119666,Adenoma low grade,0.026549745351076126,0.026549745351076126,20,0.988888879088129,16,0,1,0,0,0,0,0,3,0,0,0,0,0.8,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0
0009,0132186,Adenoma low grade,0.02610059455037117,0.02610059455037117,30,0.9985607571381243,30,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0009,0289200,Adenoma low grade,0.027365580201148987,0.027365580201148987,41,0.9455633880199964,41,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0009,0362392,Adenoma low grade,0.020786525681614876,0.020786525681614876,54,0.8853837630294109,27,13,2,5,1,0,1,0,3,0,0,2,0,0.5,0.24074074074074073,0.037037037037037035,0.09259259259259259,0.018518518518518517,0.0,0.018518518518518517,0.0,0.05555555555555555,0.0,0.0,0.037037037037037035,0.0
0009,0412486,Adenoma low grade,0.03921017050743103,0.03921017050743103,6,0.8961163261086921,1,0,2,1,0,0,2,0,0,0,0,0,0,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
0009,0513479,Adenoma low grade,0.026136314496397972,0.026136314496397972,24,0.9640222236728841,18,0,3,0,0,0,0,0,3,0,0,0,0,0.75,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
0009,0559717,Adenoma low grade,0.033544592559337616,0.033544592559337616,26,0.9794275368840805,25,0,0,0,0,0,0,0,0,0,1,0,0,0.9615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0
0009,0785400,Adenoma low grade,0.04668242484331131,0.04668242484331131,16,0.999999989590833,14,0,0,0,0,0,0,0,2,0,0,0,0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
0009,0797382,Adenoma low grade,0.0192415714263916,0.0192415714263916,22,0.9785714211264921,15,1,4,0,0,0,1,0,1,0,0,0,0,0.6818181818181818,0.045454545454545456,0.18181818181818182,0.0,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.0,0.0
0009,0819403,Adenoma low grade,0.030975157395005226,0.030975157395005226,43,0.9139793838514151,10,14,14,3,0,0,0,0,2,0,0,0,0,0.23255813953488372,0.32558139534883723,0.32558139534883723,0.06976744186046512,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0
0009,0889635,Adenoma low grade,0.02579033002257347,0.02579033002257347,106,0.9611382399590035,66,23,7,1,0,0,7,0,1,1,0,0,0,0.6226415094339622,0.2169811320754717,0.0660377358490566,0.009433962264150943,0.0,0.0,0.0660377358490566,0.0,0.009433962264150943,0.009433962264150943,0.0,0.0,0.0
0021,0433668,Adenoma low grade,0.02468849904835224,0.02468849904835224,38,0.9581135662676935,19,0,14,0,0,0,1,0,1,0,3,0,0,0.5,0.0,0.3684210526315789,0.0,0.0,0.0,0.02631578947368421,0.0,0.02631578947368421,0.0,0.07894736842105263,0.0,0.0
0021,0929872,Adenoma low grade,0.022820837795734406,0.022820837795734406,52,0.854282293533227,24,2,8,2,0,0,1,0,0,0,15,0,0,0.46153846153846156,0.038461538461538464,0.15384615384615385,0.038461538461538464,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.28846153846153844,0.0,0.0
0026,0026989,Adenoma low grade,0.012727109715342522,0.012727109715342522,9,0.9150148942272376,3,0,3,0,0,0,1,0,1,1,0,0,0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0
0026,0112320,Adenoma low grade,0.03094431944191456,0.03094431944191456,13,0.9621915117982366,8,0,3,0,0,0,0,0,2,0,0,0,0,0.6153846153846154,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0
0026,0177003,Adenoma low grade,0.026863878592848778,0.026863878592848778,6,0.9644361875806441,6,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0026,0303910,Adenoma low grade,0.009735360741615295,0.009735360741615295,38,0.966061617842187,23,2,9,0,0,0,0,0,4,0,0,0,0,0.6052631578947368,0.05263157894736842,0.23684210526315788,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0
0026,0427814,Adenoma low grade,0.032137613743543625,0.032137613743543625,16,0.9196435238118432,7,1,5,0,0,0,2,0,1,0,0,0,0,0.4375,0.0625,0.3125,0.0,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0,0.0
0026,0536425,Adenoma low grade,0.018841907382011414,0.018841907382011414,25,0.9803723415282876,17,2,3,3,0,0,0,0,0,0,0,0,0,0.68,0.08,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
