embedding_type,n_samples,bootstrap_iters,tau,spectral_gap,neighborhood_purity,silhouette,trustworthiness,id_raw,id_diff,progression,model,tau_ci_lower,tau_ci_upper,spectral_gap_ci_lower,spectral_gap_ci_upper,neighborhood_purity_ci_lower,neighborhood_purity_ci_upper,silhouette_ci_lower,silhouette_ci_upper,trustworthiness_ci_lower,trustworthiness_ci_upper,id_raw_ci_lower,id_raw_ci_upper,id_diff_ci_lower,id_diff_ci_upper
patch_mean_0.125,4000,0,0.14858697389059242,0.003955245,0.4450261507196017,0.006975451402799358,0.9900033634538152,11.908767385417852,5.1617727965760825,SCC,virchow2,,,,,,,,,,,,,,
patch_mean_0.375,4000,0,0.31682683066471934,0.004555583,0.5224115451561369,0.03918128370892738,0.983718373493976,11.728204809623548,5.729432723172238,SCC,virchow2,,,,,,,,,,,,,,
patch_mean_0.625,4000,0,0.6697239053163047,0.052240193,0.6673982228225844,0.08129416215313617,0.9723184236947792,12.853666543956452,4.7690290214546485,SCC,virchow2,,,,,,,,,,,,,,
patch_mean_0.875,4000,0,0.5750245963702677,0.026254952,0.651145238461088,0.09359298769299071,0.9826478915662651,12.206533702036694,4.091974554145043,SCC,virchow2,,,,,,,,,,,,,,
patch_mean_1.0,4000,0,0.3858244433382485,0.01273638,0.5786517243206207,0.0564892104990749,0.9876319779116466,11.359338370103318,4.014197207570889,SCC,virchow2,,,,,,,,,,,,,,
cls_0.125,4000,0,0.253742233379336,0.01664728,0.46233005879667155,0.004750904458131326,0.9876138052208835,12.963232614997983,4.411441957072636,SCC,virchow2,,,,,,,,,,,,,,
cls_0.375,4000,0,0.3171974962653277,0.007558584,0.5294184669294859,0.024069877243163344,0.9843842871485944,10.407161965012701,4.794888503942385,SCC,virchow2,,,,,,,,,,,,,,
cls_0.625,4000,0,0.6143616476940261,0.028920233,0.6595380541557478,0.06334011981384675,0.9786959337349398,11.645871110015914,4.9048384522167,SCC,virchow2,,,,,,,,,,,,,,
cls_0.875,4000,0,0.7239128404437685,0.068021655,0.7257136523446436,0.10325020050028237,0.9788926706827309,12.061546524954732,4.695445846929034,SCC,virchow2,,,,,,,,,,,,,,
cls_1.0,4000,0,0.7154708240474672,0.057043016,0.7366363902027684,0.1321883306845556,0.9831118473895583,12.417182155101925,4.438663928701519,SCC,virchow2,,,,,,,,,,,,,,
