progression,model,type,perm_id,order_str,tau
SCC,virchow2,canonical,0,Epidermis -> Actinic keratosis -> Carcinoma in situ -> Squamous cell carcinoma,0.7171961625482935
SCC,virchow2,permuted,1,Epidermis -> Actinic keratosis -> Squamous cell carcinoma -> Carcinoma in situ,0.5586939685029145
SCC,virchow2,permuted,2,Epidermis -> Carcinoma in situ -> Actinic keratosis -> Squamous cell carcinoma,0.5412474356604717
SCC,virchow2,permuted,3,Epidermis -> Carcinoma in situ -> Squamous cell carcinoma -> Actinic keratosis,0.26909549694343876
SCC,virchow2,permuted,4,Epidermis -> Squamous cell carcinoma -> Actinic keratosis -> Carcinoma in situ,0.2865420297858815
SCC,virchow2,permuted,5,Epidermis -> Squamous cell carcinoma -> Carcinoma in situ -> Actinic keratosis,0.11059330289805966
SCC,virchow2,permuted,6,Actinic keratosis -> Epidermis -> Carcinoma in situ -> Squamous cell carcinoma,0.4587805282476458
SCC,virchow2,permuted,7,Actinic keratosis -> Epidermis -> Squamous cell carcinoma -> Carcinoma in situ,0.3002783342022667
SCC,virchow2,permuted,8,Actinic keratosis -> Carcinoma in situ -> Epidermis -> Squamous cell carcinoma,0.17707282418584186
SCC,virchow2,permuted,9,Actinic keratosis -> Carcinoma in situ -> Squamous cell carcinoma -> Epidermis,-0.11059330289805966
SCC,virchow2,permuted,10,Actinic keratosis -> Squamous cell carcinoma -> Epidermis -> Carcinoma in situ,0.012612207118365177
SCC,virchow2,permuted,11,Actinic keratosis -> Squamous cell carcinoma -> Carcinoma in situ -> Epidermis,-0.26909549694343876
SCC,virchow2,permuted,12,Carcinoma in situ -> Epidermis -> Actinic keratosis -> Squamous cell carcinoma,0.2595397315986677
SCC,virchow2,permuted,13,Carcinoma in situ -> Epidermis -> Squamous cell carcinoma -> Actinic keratosis,-0.012612207118365177
SCC,virchow2,permuted,14,Carcinoma in situ -> Actinic keratosis -> Epidermis -> Squamous cell carcinoma,0.0011240972980200029
SCC,virchow2,permuted,15,Carcinoma in situ -> Actinic keratosis -> Squamous cell carcinoma -> Epidermis,-0.2865420297858815
SCC,virchow2,permuted,16,Carcinoma in situ -> Squamous cell carcinoma -> Epidermis -> Actinic keratosis,-0.3002783342022667
SCC,virchow2,permuted,17,Carcinoma in situ -> Squamous cell carcinoma -> Actinic keratosis -> Epidermis,-0.5586939685029145
SCC,virchow2,permuted,18,Squamous cell carcinoma -> Epidermis -> Actinic keratosis -> Carcinoma in situ,-0.0011240972980200029
SCC,virchow2,permuted,19,Squamous cell carcinoma -> Epidermis -> Carcinoma in situ -> Actinic keratosis,-0.17707282418584186
SCC,virchow2,permuted,20,Squamous cell carcinoma -> Actinic keratosis -> Epidermis -> Carcinoma in situ,-0.2595397315986677
SCC,virchow2,permuted,21,Squamous cell carcinoma -> Actinic keratosis -> Carcinoma in situ -> Epidermis,-0.5412474356604717
SCC,virchow2,permuted,22,Squamous cell carcinoma -> Carcinoma in situ -> Epidermis -> Actinic keratosis,-0.4587805282476458
SCC,virchow2,permuted,23,Squamous cell carcinoma -> Carcinoma in situ -> Actinic keratosis -> Epidermis,-0.7171961625482935
SCC,uni2,canonical,0,Epidermis -> Actinic keratosis -> Carcinoma in situ -> Squamous cell carcinoma,0.7073486544734213
SCC,uni2,permuted,1,Epidermis -> Actinic keratosis -> Squamous cell carcinoma -> Carcinoma in situ,0.5679100650481169
SCC,uni2,permuted,2,Epidermis -> Carcinoma in situ -> Actinic keratosis -> Squamous cell carcinoma,0.5234141740827785
SCC,uni2,permuted,3,Epidermis -> Carcinoma in situ -> Squamous cell carcinoma -> Actinic keratosis,0.25272080466062086
SCC,uni2,permuted,4,Epidermis -> Squamous cell carcinoma -> Actinic keratosis -> Carcinoma in situ,0.29721669562595926
SCC,uni2,permuted,5,Epidermis -> Squamous cell carcinoma -> Carcinoma in situ -> Actinic keratosis,0.11328221523531645
SCC,uni2,permuted,6,Actinic keratosis -> Epidermis -> Carcinoma in situ -> Squamous cell carcinoma,0.4555575000759632
SCC,uni2,permuted,7,Actinic keratosis -> Epidermis -> Squamous cell carcinoma -> Carcinoma in situ,0.3161189106506587
SCC,uni2,permuted,8,Actinic keratosis -> Carcinoma in situ -> Epidermis -> Squamous cell carcinoma,0.17413966212105844
SCC,uni2,permuted,9,Actinic keratosis -> Carcinoma in situ -> Squamous cell carcinoma -> Epidermis,-0.11328221523531645
SCC,uni2,permuted,10,Actinic keratosis -> Squamous cell carcinoma -> Epidermis -> Carcinoma in situ,0.028697033294283865
SCC,uni2,permuted,11,Actinic keratosis -> Squamous cell carcinoma -> Carcinoma in situ -> Epidermis,-0.25272080466062086
SCC,uni2,permuted,12,Carcinoma in situ -> Epidermis -> Actinic keratosis -> Squamous cell carcinoma,0.24199633612787375
SCC,uni2,permuted,13,Carcinoma in situ -> Epidermis -> Squamous cell carcinoma -> Actinic keratosis,-0.028697033294283865
SCC,uni2,permuted,14,Carcinoma in situ -> Actinic keratosis -> Epidermis -> Squamous cell carcinoma,-0.009794818269584338
SCC,uni2,permuted,15,Carcinoma in situ -> Actinic keratosis -> Squamous cell carcinoma -> Epidermis,-0.29721669562595926
SCC,uni2,permuted,16,Carcinoma in situ -> Squamous cell carcinoma -> Epidermis -> Actinic keratosis,-0.3161189106506587
SCC,uni2,permuted,17,Carcinoma in situ -> Squamous cell carcinoma -> Actinic keratosis -> Epidermis,-0.5679100650481169
SCC,uni2,permuted,18,Squamous cell carcinoma -> Epidermis -> Actinic keratosis -> Carcinoma in situ,0.009794818269584338
SCC,uni2,permuted,19,Squamous cell carcinoma -> Epidermis -> Carcinoma in situ -> Actinic keratosis,-0.17413966212105844
SCC,uni2,permuted,20,Squamous cell carcinoma -> Actinic keratosis -> Epidermis -> Carcinoma in situ,-0.24199633612787375
SCC,uni2,permuted,21,Squamous cell carcinoma -> Actinic keratosis -> Carcinoma in situ -> Epidermis,-0.5234141740827785
SCC,uni2,permuted,22,Squamous cell carcinoma -> Carcinoma in situ -> Epidermis -> Actinic keratosis,-0.4555575000759632
SCC,uni2,permuted,23,Squamous cell carcinoma -> Carcinoma in situ -> Actinic keratosis -> Epidermis,-0.7073486544734213
SCC,conch,canonical,0,Epidermis -> Actinic keratosis -> Carcinoma in situ -> Squamous cell carcinoma,0.6371714238662911
SCC,conch,permuted,1,Epidermis -> Actinic keratosis -> Squamous cell carcinoma -> Carcinoma in situ,0.6147327859979347
SCC,conch,permuted,2,Epidermis -> Carcinoma in situ -> Actinic keratosis -> Squamous cell carcinoma,0.4321237904263722
SCC,conch,permuted,3,Epidermis -> Carcinoma in situ -> Squamous cell carcinoma -> Actinic keratosis,0.1892240919451949
SCC,conch,permuted,4,Epidermis -> Squamous cell carcinoma -> Actinic keratosis -> Carcinoma in situ,0.37183308751675737
SCC,conch,permuted,5,Epidermis -> Squamous cell carcinoma -> Carcinoma in situ -> Actinic keratosis,0.16678545407683848
SCC,conch,permuted,6,Actinic keratosis -> Epidermis -> Carcinoma in situ -> Squamous cell carcinoma,0.401543206771532
SCC,conch,permuted,7,Actinic keratosis -> Epidermis -> Squamous cell carcinoma -> Carcinoma in situ,0.37910456890317556
SCC,conch,permuted,8,Actinic keratosis -> Carcinoma in situ -> Epidermis -> Squamous cell carcinoma,0.11974486499031099
SCC,conch,permuted,9,Actinic keratosis -> Carcinoma in situ -> Squamous cell carcinoma -> Epidermis,-0.16678545407683848
SCC,conch,permuted,10,Actinic keratosis -> Squamous cell carcinoma -> Epidermis -> Carcinoma in situ,0.09257424983602609
SCC,conch,permuted,11,Actinic keratosis -> Squamous cell carcinoma -> Carcinoma in situ -> Epidermis,-0.1892240919451949
SCC,conch,permuted,12,Carcinoma in situ -> Epidermis -> Actinic keratosis -> Squamous cell carcinoma,0.15032544864515118
SCC,conch,permuted,13,Carcinoma in situ -> Epidermis -> Squamous cell carcinoma -> Actinic keratosis,-0.09257424983602609
SCC,conch,permuted,14,Carcinoma in situ -> Actinic keratosis -> Epidermis -> Squamous cell carcinoma,-0.08530276844960785
SCC,conch,permuted,15,Carcinoma in situ -> Actinic keratosis -> Squamous cell carcinoma -> Epidermis,-0.37183308751675737
SCC,conch,permuted,16,Carcinoma in situ -> Squamous cell carcinoma -> Epidermis -> Actinic keratosis,-0.37910456890317556
SCC,conch,permuted,17,Carcinoma in situ -> Squamous cell carcinoma -> Actinic keratosis -> Epidermis,-0.6147327859979347
SCC,conch,permuted,18,Squamous cell carcinoma -> Epidermis -> Actinic keratosis -> Carcinoma in situ,0.08530276844960785
SCC,conch,permuted,19,Squamous cell carcinoma -> Epidermis -> Carcinoma in situ -> Actinic keratosis,-0.11974486499031099
SCC,conch,permuted,20,Squamous cell carcinoma -> Actinic keratosis -> Epidermis -> Carcinoma in situ,-0.15032544864515118
SCC,conch,permuted,21,Squamous cell carcinoma -> Actinic keratosis -> Carcinoma in situ -> Epidermis,-0.4321237904263722
SCC,conch,permuted,22,Squamous cell carcinoma -> Carcinoma in situ -> Epidermis -> Actinic keratosis,-0.401543206771532
SCC,conch,permuted,23,Squamous cell carcinoma -> Carcinoma in situ -> Actinic keratosis -> Epidermis,-0.6371714238662911
SCC,gigapath,canonical,0,Epidermis -> Actinic keratosis -> Carcinoma in situ -> Squamous cell carcinoma,0.5898786086316662
SCC,gigapath,permuted,1,Epidermis -> Actinic keratosis -> Squamous cell carcinoma -> Carcinoma in situ,0.48426746482844885
SCC,gigapath,permuted,2,Epidermis -> Carcinoma in situ -> Actinic keratosis -> Squamous cell carcinoma,0.40208985637477007
SCC,gigapath,permuted,3,Epidermis -> Carcinoma in situ -> Squamous cell carcinoma -> Actinic keratosis,0.15287201661422295
SCC,gigapath,permuted,4,Epidermis -> Squamous cell carcinoma -> Actinic keratosis -> Carcinoma in situ,0.23504962506790167
SCC,gigapath,permuted,5,Epidermis -> Squamous cell carcinoma -> Carcinoma in situ -> Actinic keratosis,0.04726087281100559
SCC,gigapath,permuted,6,Actinic keratosis -> Epidermis -> Carcinoma in situ -> Squamous cell carcinoma,0.458554843062809
SCC,gigapath,permuted,7,Actinic keratosis -> Epidermis -> Squamous cell carcinoma -> Carcinoma in situ,0.35294369925959174
SCC,gigapath,permuted,8,Actinic keratosis -> Carcinoma in situ -> Epidermis -> Squamous cell carcinoma,0.22180817340992612
SCC,gigapath,permuted,9,Actinic keratosis -> Carcinoma in situ -> Squamous cell carcinoma -> Epidermis,-0.04726087281100559
SCC,gigapath,permuted,10,Actinic keratosis -> Squamous cell carcinoma -> Epidermis -> Carcinoma in situ,0.08387465303865996
SCC,gigapath,permuted,11,Actinic keratosis -> Squamous cell carcinoma -> Carcinoma in situ -> Epidermis,-0.15287201661422295
SCC,gigapath,permuted,12,Carcinoma in situ -> Epidermis -> Actinic keratosis -> Squamous cell carcinoma,0.16534318672188716
SCC,gigapath,permuted,13,Carcinoma in situ -> Epidermis -> Squamous cell carcinoma -> Actinic keratosis,-0.08387465303865996
SCC,gigapath,permuted,14,Carcinoma in situ -> Actinic keratosis -> Epidermis -> Squamous cell carcinoma,0.034019421153030076
SCC,gigapath,permuted,15,Carcinoma in situ -> Actinic keratosis -> Squamous cell carcinoma -> Epidermis,-0.23504962506790167
SCC,gigapath,permuted,16,Carcinoma in situ -> Squamous cell carcinoma -> Epidermis -> Actinic keratosis,-0.35294369925959174
SCC,gigapath,permuted,17,Carcinoma in situ -> Squamous cell carcinoma -> Actinic keratosis -> Epidermis,-0.48426746482844885
