model,n_shots,f1_score,ref_tau_avg,target_progression
dinov2,5,0.5553538512287465,0.4748417699143757,SCC
dinov2,10,0.6134169664461474,0.4748417699143757,SCC
dinov2,20,0.6857578651454392,0.4748417699143757,SCC
conch,5,0.6205074844670363,0.6475716012104682,SCC
conch,10,0.6881195534219533,0.6475716012104682,SCC
conch,20,0.7311716103401308,0.6475716012104682,SCC
musk,5,0.6627930972967813,0.5748456888932224,SCC
musk,10,0.723714646847615,0.5748456888932224,SCC
musk,20,0.7678605562047841,0.5748456888932224,SCC
uni2,5,0.7103382925129709,0.7372177313487711,SCC
uni2,10,0.7743039609185272,0.7372177313487711,SCC
uni2,20,0.8206492585257521,0.7372177313487711,SCC
virchow2,5,0.74207291027568,0.7148803500939444,SCC
virchow2,10,0.7977390893661538,0.7148803500939444,SCC
virchow2,20,0.830881092699175,0.7148803500939444,SCC
gigapath,5,0.663189813172722,0.6911324753733744,SCC
gigapath,10,0.7365141254368452,0.6911324753733744,SCC
gigapath,20,0.7969663896958232,0.6911324753733744,SCC
dinov2,5,0.5304710455428878,0.4613915800401802,CRC-Conventional
dinov2,10,0.571371281024765,0.4613915800401802,CRC-Conventional
dinov2,20,0.6077025820528639,0.4613915800401802,CRC-Conventional
conch,5,0.6011610353540207,0.6256950694884443,CRC-Conventional
conch,10,0.6190594919709891,0.6256950694884443,CRC-Conventional
conch,20,0.65356627988907,0.6256950694884443,CRC-Conventional
musk,5,0.5842003197867961,0.563313503928785,CRC-Conventional
musk,10,0.6169384058395677,0.563313503928785,CRC-Conventional
musk,20,0.6578976707926462,0.563313503928785,CRC-Conventional
uni2,5,0.6846480451114495,0.731341942973554,CRC-Conventional
uni2,10,0.7035160010682822,0.731341942973554,CRC-Conventional
uni2,20,0.7403747139809664,0.731341942973554,CRC-Conventional
virchow2,5,0.6803709396675287,0.7096671694996921,CRC-Conventional
virchow2,10,0.7060686743951896,0.7096671694996921,CRC-Conventional
virchow2,20,0.733260137531248,0.7096671694996921,CRC-Conventional
gigapath,5,0.6725256839711983,0.6422943731360754,CRC-Conventional
gigapath,10,0.709273297985224,0.6422943731360754,CRC-Conventional
gigapath,20,0.7444167040766733,0.6422943731360754,CRC-Conventional
dinov2,5,0.7720492190939265,0.4033675461912456,CRC-Serrated
dinov2,10,0.8316880321497845,0.4033675461912456,CRC-Serrated
dinov2,20,0.8607251110601984,0.4033675461912456,CRC-Serrated
conch,5,0.8380501428995479,0.6461092009627435,CRC-Serrated
conch,10,0.8711944031085237,0.6461092009627435,CRC-Serrated
conch,20,0.8954838845233126,0.6461092009627435,CRC-Serrated
musk,5,0.8332983558589447,0.5536830901117532,CRC-Serrated
musk,10,0.8710835316129085,0.5536830901117532,CRC-Serrated
musk,20,0.8902826002921334,0.5536830901117532,CRC-Serrated
uni2,5,0.9171148301820011,0.7103138026782595,CRC-Serrated
uni2,10,0.9351428417484066,0.7103138026782595,CRC-Serrated
uni2,20,0.9416981321074251,0.7103138026782595,CRC-Serrated
virchow2,5,0.9216234653094872,0.689621151068451,CRC-Serrated
virchow2,10,0.9413673993956913,0.689621151068451,CRC-Serrated
virchow2,20,0.9483697656360753,0.689621151068451,CRC-Serrated
gigapath,5,0.9109799011702838,0.623593970243826,CRC-Serrated
gigapath,10,0.9420312753441588,0.623593970243826,CRC-Serrated
gigapath,20,0.9520921799404473,0.623593970243826,CRC-Serrated
dinov2,5,0.5580635165561807,0.5611553127456896,BDC
dinov2,10,0.6282536757306117,0.5611553127456896,BDC
dinov2,20,0.7159874964805786,0.5611553127456896,BDC
conch,5,0.7438558044405165,0.6605103558360397,BDC
conch,10,0.7793395363095328,0.6605103558360397,BDC
conch,20,0.8181908813658054,0.6605103558360397,BDC
musk,5,0.7149871309848231,0.6740716798489679,BDC
musk,10,0.7627627625865497,0.6740716798489679,BDC
musk,20,0.8176451270008622,0.6740716798489679,BDC
uni2,5,0.8650815374151686,0.74012837151915,BDC
uni2,10,0.8970099650200396,0.74012837151915,BDC
uni2,20,0.9297819060694916,0.74012837151915,BDC
virchow2,5,0.8398068861032322,0.7476685421680388,BDC
virchow2,10,0.8758693640637916,0.7476685421680388,BDC
virchow2,20,0.9196563639762788,0.7476685421680388,BDC
gigapath,5,0.810038035771331,0.7062552159985135,BDC
gigapath,10,0.8645680855194579,0.7062552159985135,BDC
gigapath,20,0.9104707147833576,0.7062552159985135,BDC
