Model,Token Type,Depth,Tau
virchow2,Patch Mean,0.125,0.14858697389059242
virchow2,Patch Mean,0.375,0.31682683066471934
virchow2,Patch Mean,0.625,0.6697239053163047
virchow2,Patch Mean,0.875,0.5750245963702677
virchow2,Patch Mean,1.0,0.3858244433382485
virchow2,CLS Token,0.125,0.253742233379336
virchow2,CLS Token,0.375,0.3171974962653277
virchow2,CLS Token,0.625,0.6143616476940261
virchow2,CLS Token,0.875,0.7239128404437685
virchow2,CLS Token,1.0,0.7154708240474672
virchow2,Register Mean,0.125,0.14132934180858323
virchow2,Register Mean,0.375,0.1544420475699572
virchow2,Register Mean,0.625,0.6168289739835651
virchow2,Register Mean,0.875,0.5191247259586166
virchow2,Register Mean,1.0,0.3818526430055525
uni2,Patch Mean,0.125,0.09509296672696203
uni2,Patch Mean,0.375,0.2177304160573785
uni2,Patch Mean,0.625,0.5954538039817564
uni2,Patch Mean,0.875,0.668324954984458
uni2,Patch Mean,1.0,0.6286401116677035
uni2,CLS Token,0.125,0.0014159842952310097
uni2,CLS Token,0.375,0.31228121620249366
uni2,CLS Token,0.625,0.5809034427566556
uni2,CLS Token,0.875,0.7186435266066666
uni2,CLS Token,1.0,0.697761332359115
uni2,Register Mean,0.125,-0.0007308725136868796
uni2,Register Mean,0.375,0.2398873003600463
uni2,Register Mean,0.625,0.6041098001378312
uni2,Register Mean,0.875,0.7036155298837262
uni2,Register Mean,1.0,0.6976708650051754
conch,Patch Mean,0.125,0.1224027407007599
conch,Patch Mean,0.375,0.31739786185600094
conch,Patch Mean,0.625,0.6089996644021193
conch,Patch Mean,0.875,0.6304029824121566
conch,Patch Mean,1.0,0.6510397721178176
conch,CLS Token,0.125,0.14074427730831027
conch,CLS Token,0.375,0.19311708642947037
conch,CLS Token,0.625,0.6138423329159182
conch,CLS Token,0.875,0.6628087350406505
conch,CLS Token,1.0,0.6647504626322349
conch,Register Mean,0.125,
conch,Register Mean,0.375,
conch,Register Mean,0.625,
conch,Register Mean,0.875,
conch,Register Mean,1.0,
gigapath,Patch Mean,0.125,0.06228222917575373
gigapath,Patch Mean,0.375,0.11703717927365254
gigapath,Patch Mean,0.625,0.5734307301004682
gigapath,Patch Mean,0.875,0.5752128720610273
gigapath,Patch Mean,1.0,0.5684763366495756
gigapath,CLS Token,0.125,0.0685809019197914
gigapath,CLS Token,0.375,0.28576839222976136
gigapath,CLS Token,0.625,0.4803628499161157
gigapath,CLS Token,0.875,0.6389944510681403
gigapath,CLS Token,1.0,0.5917924753471886
gigapath,Register Mean,0.125,
gigapath,Register Mean,0.375,
gigapath,Register Mean,0.625,
gigapath,Register Mean,0.875,
gigapath,Register Mean,1.0,
musk,Patch Mean,0.125,0.12818678175910592
musk,Patch Mean,0.375,0.33523662767479745
musk,Patch Mean,0.625,0.43704556803291994
musk,Patch Mean,0.875,0.08007983268735108
musk,Patch Mean,1.0,0.2727296329021301
musk,CLS Token,0.125,0.15469725865443565
musk,CLS Token,0.375,0.2307739705970801
musk,CLS Token,0.625,0.12320058652104618
musk,CLS Token,0.875,0.646334356560481
musk,CLS Token,1.0,0.6506451445477037
musk,Register Mean,0.125,
musk,Register Mean,0.375,
musk,Register Mean,0.625,
musk,Register Mean,0.875,
musk,Register Mean,1.0,
dinov2,Patch Mean,0.125,0.1613442475339703
dinov2,Patch Mean,0.375,0.2725075969196603
dinov2,Patch Mean,0.625,0.36224395397480114
dinov2,Patch Mean,0.875,0.37930851968420937
dinov2,Patch Mean,1.0,0.3269587193325157
dinov2,CLS Token,0.125,0.20339215045276401
dinov2,CLS Token,0.375,0.17260848194382739
dinov2,CLS Token,0.625,0.4202310262450145
dinov2,CLS Token,0.875,0.4396324206156746
dinov2,CLS Token,1.0,0.47060443868566537
dinov2,Register Mean,0.125,0.07129594245651327
dinov2,Register Mean,0.375,0.12032617755744064
dinov2,Register Mean,0.625,0.4401061957371367
dinov2,Register Mean,0.875,0.4240092722080496
dinov2,Register Mean,1.0,0.4457467469546901
