progression,model,embedding_type,tau,tau_ci_lower,tau_ci_upper,n_permutations
SCC,virchow2,shuffled_null,0.0029420110649591704,-0.01286733404268207,0.015224932162510047,10
SCC,uni2,shuffled_null,0.00256766804284212,-0.011573835411770522,0.013207374558000355,10
SCC,conch,shuffled_null,0.002392131446090589,-0.010296150296556452,0.012232114368548014,10
SCC,gigapath,shuffled_null,0.0031448447687691854,-0.004476171626307366,0.012704354946924953,10
SCC,musk,shuffled_null,0.0017011154132643813,-0.013889954813263864,0.015814835862048786,10
SCC,dinov2,shuffled_null,0.0007797224073934782,-0.011163864024108737,0.014214228044249967,10
CRC-Conventional,virchow2,shuffled_null,0.008816230345233069,-0.0029255902461510527,0.027276642653354874,10
CRC-Conventional,uni2,shuffled_null,0.007759735406375397,-0.004166467746020227,0.02420985247796245,10
CRC-Conventional,conch,shuffled_null,0.00894749402273857,-0.0027118757092463243,0.028868379819302147,10
CRC-Conventional,gigapath,shuffled_null,0.007213161264234704,-0.0006463739099984093,0.022652174505939034,10
CRC-Conventional,musk,shuffled_null,0.007677841982085559,-0.004595611460401742,0.023023543755626236,10
CRC-Conventional,dinov2,shuffled_null,0.008307405680964448,-0.00760346997033136,0.01808303786493892,10
CRC-Serrated,virchow2,shuffled_null,-0.0016453515593689919,-0.014206918210623577,0.013342743879349873,10
CRC-Serrated,uni2,shuffled_null,-0.0021099885778038826,-0.014748320107371654,0.015564231536897084,10
CRC-Serrated,conch,shuffled_null,-0.0038199899912211197,-0.030728513750213536,0.016546353120875875,10
CRC-Serrated,gigapath,shuffled_null,-0.002048713669863495,-0.017454530344011794,0.016620421706559203,10
CRC-Serrated,musk,shuffled_null,-0.003470662515741441,-0.028816592463041565,0.020421912701621022,10
CRC-Serrated,dinov2,shuffled_null,-0.0021408028550228522,-0.01756393385661558,0.018576286303411942,10
BDC,virchow2,shuffled_null,0.009794100151399863,-0.016328679006570975,0.02258492630055518,10
BDC,uni2,shuffled_null,0.009144821503829073,-0.019984182680122548,0.022095408597767093,10
BDC,conch,shuffled_null,0.007420012040717053,-0.008298588533353862,0.02466977903596144,10
BDC,gigapath,shuffled_null,0.01270802740136727,-0.014191297314024291,0.03249490456211933,10
BDC,musk,shuffled_null,0.006103660791294218,-0.01045068703019331,0.027697460493655426,10
BDC,dinov2,shuffled_null,-0.001565533503925327,-0.019523613600323984,0.007611614798424104,10
